idx,유저,챗봇
335,이 커튼 세트 의 무게가 얼마나 되나요?,커튼 무게 안내드립니다. 커튼 특성상 치고 걷으면서 압축봉이 떨어질 수 있어서 압축봉의 최대 하중 확인 후 함께 설치부탁드립니다.
336,,
337,이 같은 제품이 안방용은 없나요?,설치하시는 곳에 사이즈만 맞으시면 안방에도 설치 가능합니다.
338,,
339,,
340,,
341,암막이랑 속커튼이랑 나란히 펼쳐서 걸게 되더라도 만약 암막 커튼만 필요할 시 애암막만 펼쳐놓게 되면 주름이 넘없게 되서 이쁘지 않겠죠?,현제 폭 300CM 짜리를 사용하시는데 주름이 적당하다고 하시면 암막 커튼 기준 4장으로 설치하셔야 합니다.
342,,
343,베란다 창문 가로 305CM 세로 130CM 이면 어떤 걸로 주문해야 하는지요?,대형으로 주문하시고 제작사이즈 말씀해 주시면 됩니다.
344,,
345,혹시 초대형 조금 작게도 제작 가능한가요?,182x240 두 개로 제작되어 내일 출고해 드리겠습니다.
346,,
347,하나는 특대로 하나는 대형으로 해야 되나요?,특대형으로 주문 후배송요청란에 사이즈 기재해 주시면 됩니다.
348,,
349,,
350,,
351,,
352,,
353,혹시 구성은 고대로 하되 색상만 체리로 변경 가능할까요?,제작이 들어가서 변경 불가합니다.
354,,
355,작년 12월 제품 주문하여 아주 잘 사용하고 있습니다 대형 하나만 필요한데 한 개만 주문하려면 어떻게 해야 하나요?,낱개 주문 이용해 주세요.
356,,
357,혹시 실측 상담도 받고 싶고 주문 후 시공도 받고 싶은데요. 경남 김해인데 가능할까요?,실측은 힘들고요시공은 가능합니다.
358,,
359,보통 4개로 하는 거 같던데 크기를 어떤 걸로 할까요?,거실은 보편적으로 3개로 하시는 게 좋아요.
360,,
361,아래 댓글보니 400도 주문 제작 가능한 거 같던데가로 305세로 190인 창사이즈도 제작 가능한가요?,하나로는 제작이 힘듭니다 나눠서 주문하셔야 합니다.
362,,
363,상세 설명에는 손잡이 고정대와 콘크리트 고정나사가 포함되어 있는데 받은 상품설명서에는 포함 안 되어 있고 받은 제품에도 없네요 어떤 게 맞는 건가요?,손잡이 고정대는 2018년부터 안전 규정이 변경되어 기본 품목에서 제외되었습니다.
364,,
365,방창문 사이즈 가로 180CM 인데요 어떤 사이즈로 주문하면 될까요?,블라인드는 최대 가로 220CM 까지 주문 제작 가능합니다. 하지만 2개로 나눠서 주문 제작을 원하신다면 소형 사이즈로 구매하시길 권장합니다.
366,,
367,가로 150인데 주문을 어떻게 하나요?,옆에 공간이 있는지요 여유공간이 있으면 155로 그냥 가시는 게 좋아요.
368,,
369,세로길이는 240 고정인가요?,네 가능합니다 배송요청란에 원하시는 사이즈 기재 하시면 됩니다.
370,,
371,손잡이 방향이 좌측 우측 표시 맞죠?,확인되었습니다.
372,,
373,1+1이면 가로 155가 두 개가 온다는 거 맞는 건가요?,주문하신 상품과 같은 상품으로 배송됩니다.
374,,
375,,
376,,
377,가로 183세로 223가능한가요?,일단 가로가 183이시면 주름을 감안하고 2장 설치하시는 게 맞습니다. 다소세로 길이가 길 수는 있으나 커튼이 딱 떨어지는 느낌으로 설치를 원하시면 맞춤으로 제작하셔야 합니다.
378,,
379,두 장으로 가능하까요 아님네 장하는 게 졸까요?,2장으로 하시면 주름잡으면 커튼이 다소 폭이 짧아 보일 수 있습니다. 4장을 구매하셔서 설치하시면 풍성한 주름을 잡고 화면처럼 연출이 가능할 듯합니다.
380,,
381,세로길이를 230CM 로 조정 가능한가요?,맞춤으로 진행 가능하십니다. 세로 길이 수선은 가능하지만 기존 제품을 뜯어서 제작해야 되기 때문에 바느질 자국이 남을 수 있습니다.
382,,
383,11일까지 주문하면 설 오기 전에 받을 수 있다고 했는데 가능하신 건지요?,주문건 12일 확인 후 출고 예정이구요 일부 지역에 따라서는 택배사의 사정에 따라 설전 배송이 어려우 실 수 있습니다.
384,,
385,이 제품 대자는 없나요?,문의주신 제품은 2장/4장/6장 단위로 판매되고 있습니다 별도 1장으로 더 큰 사이즈는 출시되지 않았습니다.
386,,
387,창 커텐으로 사용하고 싶은데 길이를 170으로 해주실 수 있을까요?,시즌 상품으로 인하여 당분간 맞춤 진행은 어렵습니다 구매하신 후 구매 확정되시면 가까운 수선집 이용 부탁드립니다 이 점 양해부탁드립니다.
388,,
389,커텐 총길이가 235센치인 가요?,커튼 총 세로 길이가 235이구요 맞춤은 자사몰에서만 가능합니다.
390,,
391,,
392,,
393,거실 : 356X 247안방 : 220X 247 높이가 판매하는 치수보다 더 큰 데 감안하여 제작 가능한가요?,문의주신 제품은 시즌 상품 생산으로 인해 당분간 맞춤 제작이불가합니다 이 점 양해 부탁드립니다.
394,,
395,주문했는데 봉포함된 거 맞나요?,문의주신 제품은 봉포함 제품이 아니세요 봉은 별도 구매해 주셔야 합니다.
396,,
397,진그레이 컬러는 언제 재입고되나요?,주말 중 입고 예정으로 주문하실 수 있도록 시스템 변경되었습니다 확인 부탁드립니다.
398,,
399,높이가 225인데 길이가 짧은 건 없나요?,기성품으로 문의주신 제품은 기장 235 제품이 세요 구매하신 후 구매 확정되시면 더 짧은 부분은 가까운 수선 집 추천 드리고 있습니다.
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,하나 더 주문하게요 그리고 구성품이 봉도 포함인 거 맞죠 풀셋 맞죠?,주문하신 상품은 봉세트 구성으로 확인되며 확인 후 좋은 상품으로 출고하겠습니다.
480,,
481,타이백 없이 왔는데 원래 없는 건가요?,주문하신 상품 구성에는 타이백이 없습니다. 구성을 확인해주세요.
482,,
483,사은품으로 타이백 선물해주실 수 있을까요?,주문 건 확인 후 좋은 상품으로 최대한 빠른 배송 노력하겠습니다. 타이백은 구성에 없는 상품으로 출고가 어렵습니다.
484,,
485,설치.할려고 보니 천정이 석고보드?같다는데 그럼 설치를 어떻게 해야 하나요?,저희 커튼봉은 벽면 또는 천장에도 설치 가능하며 석고보드 시 철물점에서 석고보드피스를 따로 구매 설치하셔야 합니다.
486,,
487,화이트 색상 재입고 언제 되나요?,문의주신 화이트 색상은 현재 품절이며 12월 중으로 입고된다고 합니다. 빠른 시일 내에 입고될 수 있도록 노력 하겟습니다.
488,,
489,커텐은 낙낙한 걸루 주문해야 하는데 대형 사이즈는 작을 것 같은데 특대형은 안 파나요?,일반적으로 실측 사이즈보다 1.5 - 2배 정도 넉넉한 사이즈로 선택을 많이 하십니다.
490,,
491,,
492,,
493,커튼이 망이랑 암막이랑 붙어 있나요?,하나의 커튼봉에 암막 커튼과 레이스 커튼을 겹쳐서 설치하시면 됩니다.
494,,
495,,
496,,
497,암막은 어느 정도입니까?,저희 커튼은 생활 암막 커튼이며 고객님이 생각하시는 깜깜한 암전 효과는 없습니다.
498,,
499,천장 및 벽면 모두 설치 가능한가요?,봉 세트를 구매하시면 설치부자재가 포함되어 있습니다. 저희 브라켓은 벽면/ 천장 설치 가능합니다.
500,,
501,오늘 주문했는데.베이지로 교환 원해요 가능할까요?,베이지 색상으로 변경하여 출고되었습니다. 다른 문의사항 있으시면 언제든지 글을 남겨주세요.
502,,
503,다시 문의 드려요 너비가 234길이가 228인데 대형하면 될까요?,저희 업체 모든 상품의 세로기장은 235CM 동일하며 너비는 설치할 곳의 1.5배 정도로 생각하셔서 구매해 주시면 되는데 중형은 180CM 이니 사이즈 확인하시어 구매해 주시면 됩니다.
504,,
505,,
506,혹시 몇 시 정도 주문 가능할까요?,지금 확인하시면 주문 가능할 것으로 보여집니다. 확인하시고 즐거운 쇼핑 하세요.
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,베이지 언제 되나요?,현재 입고 일정이 확정되지 않아 정확한 답변이 어려운 점 양해 부탁드립니다.
568,,
569,,
570,,
571,커튼이 벽꼭대기 시작점부터 걸리는 게 아니라 봉부터 시작하니까 230도 괜찮지 않나요?,당사 커튼은 천장부터 바닥까지 기준으로 230CM 으로 제작됩니다. 함께 발송되는 조절 브라켓이 8CM 가량 조절이 가능하십니다.
572,,
573,타이백은 포함 아닌가요?,로망 제품에는 타이백이 포함되어 있지 않습니다. 구성품 보시면 확인 가능합니다.
574,,
575,가로270인데 특대형은 너무 크지 않을까요?,대형도 설치는 가능하지만 풍성한 주름은 없으실 듯합니다. 대형보다 특대형을 설치하는 것이 풍성한 주름으로 예쁘게 설치 가능하실 듯합니다.
576,,
577,,
578,,
579,중형은 없나요?,로망 제품의 경우 재고가 소량 남아 있어 인터넷몰에 모두 다 판매가 불가능한 점 양해 부탁드립니다.
580,,
581,세탁은 어찌 하나요?,우선 세탁 방법부터 설명을 드리겠습니다. 물 세탁은 불가능한 제품으로 불가능한 이유는 세탁기에 넣으려면 부득이하게 접으셔야 하는데 복구가 어려우며 건조가 쉽지 않고 틀어짐도 발생할 수 있습니다.
582,,
583,,
584,,
585,구성에 커텐봉은 기재가 안 되어 있는데 커텐봉 함께 오는 거 맞나요?,다른 문의사항은 언제든 글 남겨주시구요 덥고 지치기 쉬운 날씨에 시원하고 상쾌한 일들만 가득하세요.
586,,
587,사진상 마무리 부분은 두꺼워 보이는데 중앙 부분은 두께가 어느 정도 되나요?,문의주신 상품의 두께는 약0.8CM 정도 됩니다.
588,,
589,주문했는데 배송일이 13일이라 나오네요?,주문해주신 상품은 이미 출고되었습니다.
590,,
591,브라운은 언제 구매할 수 있을까요?,현재 특대형 브라운 제품 구매 가능하십니다.
592,,
593,,
594,,
595,비스킷 색이 무슨 색이죠?,문의주신 비스킷 색상은 파스텔 톤의 연한 베이지 색상으로 비스킷 과자 색상으로 보시면 되실 것 같으세요.
596,,
597,커튼 디망쉬 한 장 가로 사이즈가 132인 가요?,원단 특성상 오차 있을 수 있습니다. 커튼을 구매하시면 커튼봉은 별매세요.
598,,
599,한 가지만 더 질문드릴게요 커튼 핀 사용하여 커튼 레일에 다가걸 수 있는 제품인가요?,문의주신 제품은 아일렛 형식으로 상단에 메탈링이 박혀 있는 커튼으로 핀을 꽂을 수 있는 심지가 없어서 커튼 원단에 손상이 생기기 때문에 커튼봉에 끼워서 설치하시기를 권장 드립니다.
600,,
601,한 장에 132센티라는 건가요?,기재되어 있는 사이즈는 쫙 펼쳐서 잰 사이즈로 35 40 주름 없이 35 41 실제로 설치하시게 되면 가로가 많이 줄어듭니다.
602,,
603,,
604,온라인으로 커튼은 처음 구매하는 거라서요 그럼 170X 160/297X 217 각각 몇 개씩 구매를 해야 되는 건가요?,창사이즈 170X 160는 작은 창 용으로 암막 커튼 2장로 설치하시면 되세요.
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,다크 그레이 2세트 주문했는데 다른 곳은 그렇게 추가하면 이어서 연결해서 보내주던데 여기는 따로따로 오는데 원래 그런 건가요?,저희 B.H.F 제품은 기성품을 판매하기 때문에 주문 제작이불가능하며 사이즈 변경 및 수선이불가합니다.
619,,
620,가로세로 길이 맞죠?,사이즈 132X 170이라 기재되어 있는데요
621,,
622,커튼봉은 따로 구매해야 하는 건가요?,BHF 커튼봉 으로 검색하시면 현재 판매 중인 봉확인 가능하시며 커튼봉은 창사이즈에 맞추어 10자나 15자로 선택 부탁드립니다.
623,,
624,재입고 예정 있나요?,문의주신 상품은 재입고 예정에 있으나 정확한 날짜는 안내가 어려운 점 양해 바랍니다.
625,,
626,,
627,,
628,천장이 아닌 벽면에도 설치가 가능할까요?,업체 브라켓은 조절 브라켓으로 천장에만 설치 가능하며 벽에는 설치가 어렵습니다.
629,,
630,궁금해서 그러는데요 부재료 커텐 봉주시나요?,문의주신 상품 구성에는 커튼봉이 포함되어 발송되십니다.
631,,
632,다른 색 구매는 안 되는 건가요?,현재 네이비 색상만 재고 있습니다.
633,,
634,순수 웨딩스타일 암막 커텐 대형 말고 특대형 구입 가능하나요?,일반적으로 커튼은 설치하실 곳의 사이즈보다 1.5배 사이즈를 권해드립니다.
635,,
636,롯데 상품 4 - 5개 구입 예정인데.설치가 눙할까요?,문의주신 상품은 자가 설치 상품으로 설치 서비스는 불가한 점 양해 부탁드립니다.
637,,
638,커텐 봉천장 말고 벽면에도 설치 가능한가요?,당사 브라켓은 8CM 가량 조절이 가능한 브라켓으로 벽면에는 설치가 불가한 점 양해 부탁드립니다.
639,,
640,,
641,,
642,연 그레이 두 장 주문해서 잘 쓰고 있습니다 이번에는 그레이로 두 장 정도 주문하고 싶은데 언제쯤 재입고될까요?,문의주신 그레이 색상 주문 가능하십니다.
643,,
644,타이백은 같이 배송되는 건가요?,타이백은 별도 구매하셔야 하는 점 양해 부탁드립니다. 인터넷에 롯데 타이백으로 검색 후 그라데이션 타이백으로 색상 선택 하시면 됩니다.
645,,
646,한스 데코 로제2 이중 암막 레이스 커튼의 구성 상품 중에 암막 커튼이 이 솔리드 암막 커튼과 같은 상품일까요?,해당 제품 이중암막으로 구성되어 있는 암막 커튼은 색상에 따라서 말씀하신 일반 솔리드와 같은 경우도 있으나 일반 솔리드 암막 커튼과는 두께감 등 원단 차이가 있습니다.
647,,
648,커텐 150X 222로 제작 가능한가요?,저희 상품의 관심 가져주셔서 감사합니다 문의주신 제품은 제작이불가한 제품으로 구매 어려운 점 양해 부탁드립니다.
649,,
650,혹시 봉이 아닌 알미늄 레일에 설치도 가능한가요?,문의주신 상품은 아일렛 커튼으로 커튼에 아일렛 구멍이 뚫려 있어 커튼 핀으로 레일에 설치하시게 되면 보기에 안 좋아 권해드리고 있지는 않습니다.
651,,
652,2개를 구매하려고 합니다 커튼봉도 사야 하는데 추가 구성은 어떻게 사야 하나요?,문의주신 상품에 커튼봉은 포함된 구성으로 발송됩니다. 커튼봉은 별도 구매하실 필요 없으며 가운데 장식 타이백만 별도 구매 부탁드립니다.
653,,
654,다른 싸이즈는 입고되었는데 130/170은 더 기다려야 하나요?,현재 방한 커튼 아이보리 전 사이즈 입고되어 구매 가능하며 검색창에 알뜨리 방한 커튼 검색 후 구매 가능한 점 참고 부탁드리겠습니다.
655,,
656,구성품에 타이백은 없나요?,타이백은 구성에 포함되어 있지 않으며 타이백은 방송 중 구매 사은품으로 인터넷 상품 구성에는 포함되어 있지 않은 점 양해 부탁드립니다.
657,,
658,폭 360 높이 230인 가요?,문의주신 상품의 사이즈는 가로 양쪽 커튼 합친 넓이가 360세로 높이가 230CM 이며 커튼은 가로세로 오차 2 - 3CM 발생할 수 있음을 양해 부탁드립니다.
659,,
660,24평 거실에 맞는 사이즈인가요?,커튼은 일반적으로 평수로는 정확한 안내가 어려우며 설치하실 곳의 실측보다 150CM 이상 넓은 사이즈를 권해드립니다.
661,,
662,,
663,,
